fold,selected_epochs,inner_selected_epochs,n_train_conditions,n_test_conditions,train_subjects,test_subjects,n,accuracy,balanced_accuracy,macro_f1,loss,mae,quadratic_weighted_kappa
1,1,1|6|3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,30,0.7,0.55,0.4990723562152134,0.6897353291511535,0.3,0.12903225806451601
2,3,2|23|3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,30,0.3333333333333333,0.3333333333333333,0.3212669683257918,0.7075338761011759,0.6666666666666666,-0.26582278481012644
3,9,9|2|9,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,30,0.7,0.5,0.4117647058823529,0.6965462565422058,0.3,0.0
4,6,12|6|1,115,25,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,25,0.56,0.43253968253968256,0.4282744282744283,0.6973841404914856,0.44,-0.1410788381742738
5,10,1|19|28,115,25,P001|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P019|P020|P021|P023|P024|P026|P027|P030,P002|P009|P025|P028|P029,25,0.36,0.5,0.2647058823529412,0.6838335061073303,0.64,0.0
