epoch,loss,accuracy
1,0.6863531286066229,0.2636363636363636
2,0.6369914911010048,0.41818181818181815
3,0.6261390555988658,0.4818181818181818
4,0.6293800072236495,0.44545454545454544
5,0.5805254220962525,0.5363636363636364
6,0.567299487915906,0.5272727272727272
7,0.5165416668761861,0.5636363636363636
8,0.5585468844933943,0.5272727272727272
9,0.5631003228100864,0.5181818181818182
10,0.5332996129989624,0.5363636363636364
11,0.489152021299709,0.5818181818181818
12,0.5217540946873751,0.5454545454545454
