phase,model,sampling,K,threshold_tuned,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,avg_threshold
1,SVM_RBF,adasyn,10,False,0.6639,0.5674,0.5638,0.3793,0.7556,0.5
1,GradBoost,adasyn,10,False,0.6471,0.533,0.532,0.3103,0.7556,0.5
1,RF_balanced,adasyn,15,False,0.7311,0.5885,0.5949,0.3103,0.8667,0.5
1,RF_w2,adasyn,15,False,0.7311,0.5651,0.5688,0.2414,0.8889,0.5
1,RF_w3,adasyn,15,False,0.7395,0.559,0.56,0.2069,0.9111,0.5
1,BalancedRF,adasyn,15,False,0.5462,0.5364,0.5032,0.5172,0.5556,0.5
1,LogReg_C0.1,adasyn,15,False,0.5798,0.5469,0.5232,0.4828,0.6111,0.5
1,LogReg_C1,adasyn,15,False,0.5882,0.5291,0.5159,0.4138,0.6444,0.5
1,SVM_RBF,adasyn,15,False,0.6471,0.5563,0.5512,0.3793,0.7333,0.5
1,GradBoost,adasyn,15,False,0.6975,0.5663,0.5688,0.3103,0.8222,0.5
1,RF_balanced,adasyn,20,False,0.6891,0.5257,0.5246,0.2069,0.8444,0.5
1,RF_w2,adasyn,20,False,0.6891,0.5257,0.5246,0.2069,0.8444,0.5
1,RF_w3,adasyn,20,False,0.7059,0.5485,0.5503,0.2414,0.8556,0.5
1,BalancedRF,adasyn,20,False,0.5714,0.5648,0.5283,0.5517,0.5778,0.5
1,LogReg_C0.1,adasyn,20,False,0.5714,0.518,0.5036,0.4138,0.6222,0.5
1,LogReg_C1,adasyn,20,False,0.563,0.5125,0.4974,0.4138,0.6111,0.5
1,SVM_RBF,adasyn,20,False,0.6639,0.5207,0.5209,0.2414,0.8,0.5
1,GradBoost,adasyn,20,False,0.6723,0.573,0.5702,0.3793,0.7667,0.5
1,RF_balanced,adasyn,30,False,0.7227,0.5596,0.5625,0.2414,0.8778,0.5
1,RF_w2,adasyn,30,False,0.7143,0.5307,0.526,0.1724,0.8889,0.5
1,RF_w3,adasyn,30,False,0.7227,0.5362,0.5317,0.1724,0.9,0.5
1,BalancedRF,adasyn,30,False,0.563,0.5592,0.5216,0.5517,0.5667,0.5
1,LogReg_C0.1,adasyn,30,False,0.5546,0.5069,0.4912,0.4138,0.6,0.5
1,LogReg_C1,adasyn,30,False,0.605,0.5402,0.5283,0.4138,0.6667,0.5
1,SVM_RBF,adasyn,30,False,0.6723,0.5262,0.5267,0.2414,0.8111,0.5
1,GradBoost,adasyn,30,False,0.6807,0.5902,0.5856,0.4138,0.7667,0.5
1,RF_balanced,borderline,10,False,0.6975,0.5663,0.5688,0.3103,0.8222,0.5
1,RF_w2,borderline,10,False,0.7059,0.5718,0.5752,0.3103,0.8333,0.5
1,RF_w3,borderline,10,False,0.7059,0.5718,0.5752,0.3103,0.8333,0.5
1,BalancedRF,borderline,10,False,0.5714,0.5764,0.5333,0.5862,0.5667,0.5
1,LogReg_C0.1,borderline,10,False,0.5126,0.5025,0.472,0.4828,0.5222,0.5
1,LogReg_C1,borderline,10,False,0.5126,0.5025,0.472,0.4828,0.5222,0.5
1,SVM_RBF,borderline,10,False,0.6134,0.5107,0.5084,0.3103,0.7111,0.5
1,GradBoost,borderline,10,False,0.6639,0.5791,0.5726,0.4138,0.7444,0.5
1,RF_balanced,borderline,15,False,0.6975,0.5546,0.5571,0.2759,0.8333,0.5
1,RF_w2,borderline,15,False,0.7143,0.554,0.5564,0.2414,0.8667,0.5
1,RF_w3,borderline,15,False,0.6723,0.5146,0.5134,0.2069,0.8222,0.5
1,BalancedRF,borderline,15,False,0.5462,0.5364,0.5032,0.5172,0.5556,0.5
1,LogReg_C0.1,borderline,15,False,0.5714,0.5297,0.5104,0.4483,0.6111,0.5
1,LogReg_C1,borderline,15,False,0.5378,0.4958,0.4789,0.4138,0.5778,0.5
1,SVM_RBF,borderline,15,False,0.6555,0.5736,0.5661,0.4138,0.7333,0.5
1,GradBoost,borderline,15,False,0.6723,0.5613,0.5606,0.3448,0.7778,0.5
1,RF_balanced,borderline,20,False,0.7143,0.5423,0.5419,0.2069,0.8778,0.5
1,RF_w2,borderline,20,False,0.7143,0.554,0.5564,0.2414,0.8667,0.5
1,RF_w3,borderline,20,False,0.7227,0.5713,0.576,0.2759,0.8667,0.5
1,BalancedRF,borderline,20,False,0.5714,0.5648,0.5283,0.5517,0.5778,0.5
1,LogReg_C0.1,borderline,20,False,0.5966,0.558,0.5361,0.4828,0.6333,0.5
1,LogReg_C1,borderline,20,False,0.5546,0.5069,0.4912,0.4138,0.6,0.5
1,SVM_RBF,borderline,20,False,0.6723,0.5262,0.5267,0.2414,0.8111,0.5
1,GradBoost,borderline,20,False,0.6891,0.549,0.5509,0.2759,0.8222,0.5
