fold,selected_epochs,n_train,n_test,train_subjects,test_subjects,trial_n,trial_accuracy,trial_balanced_accuracy,trial_macro_f1,trial_loss,condition_n,condition_accuracy,condition_balanced_accuracy,condition_macro_f1
1,15,550,150,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,150,0.5266666666666666,0.48,0.47985347985347987,0.78128515402476,30,0.5666666666666667,0.475,0.466484268125855
2,14,550,150,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,150,0.5866666666666667,0.45079365079365075,0.43347953216374263,0.9733670580387116,30,0.6333333333333333,0.4841269841269841,0.4599018003273323
3,12,550,150,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,150,0.49333333333333335,0.4031746031746032,0.4042642140468227,1.2143816502888998,30,0.5333333333333333,0.4126984126984127,0.40340909090909094
4,5,575,125,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,125,0.496,0.44047619047619047,0.43850267379679153,0.7746880350112915,25,0.36,0.2936507936507936,0.3055555555555556
5,10,575,125,P001|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P019|P020|P021|P023|P024|P026|P027|P030,P002|P009|P025|P028|P029,125,0.592,0.49166666666666664,0.4588744588744588,0.8794495306015014,25,0.68,0.5555555555555556,0.5
