epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5,0.3481095176010431,0.7081033774784634
2,3,0.5059523809523809,0.3611120661005489,0.7021436424482436
3,3,0.5396825396825397,0.4374353964006061,0.7002668542521341
4,3,0.5297619047619048,0.46475737009795215,0.6984772174131303
5,3,0.48809523809523814,0.4024995719910975,0.6981088683718727
6,3,0.49404761904761907,0.4055147988869214,0.6988702373845236
7,3,0.4791666666666667,0.3978481222997674,0.6974898571059818
8,3,0.4861111111111111,0.40150309306000126,0.6958392200015839
9,3,0.4861111111111111,0.40150309306000126,0.694522928623926
10,3,0.5,0.40844134263875037,0.6937047515596663
11,3,0.49404761904761907,0.4055147988869214,0.6942453878266471
12,3,0.48710317460317465,0.4021054865939153,0.6944455913134985
13,3,0.4583333333333333,0.3860556694695787,0.6952435164224534
