inner_fold,epoch,train_loss,train_accuracy,validation_n,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_per_class_recall,validation_per_class_precision,validation_per_class_f1,validation_support,validation_loss,validation_mae,validation_quadratic_weighted_kappa
1,1,0.6458065867424011,0.5866666666666667,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.6321370124816894,0.425,0.20560747663551393
1,2,0.6405072768529256,0.5866666666666667,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.6321379899978637,0.425,0.20560747663551393
1,3,0.6442333193620046,0.5866666666666667,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.632465124130249,0.425,0.20560747663551393
1,4,0.6395771638552348,0.5866666666666667,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.6322174668312073,0.425,0.20560747663551393
1,5,0.644691131512324,0.5866666666666667,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.6322009205818176,0.425,0.20560747663551393
1,6,0.6374806571006775,0.6266666666666667,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.6321607112884522,0.425,0.20560747663551393
1,7,0.6358163928985596,0.6133333333333333,40,0.575,0.6253561253561254,0.5725958516656191,"[0.48148148148148145, 0.7692307692307693]","[0.8125, 0.4166666666666667]","[0.6046511627906976, 0.5405405405405406]","[27, 13]",0.6321911454200745,0.425,0.20560747663551393
1,8,0.6341479277610779,0.6533333333333333,40,0.625,0.6623931623931625,0.6190476190476191,"[0.5555555555555556, 0.7692307692307693]","[0.8333333333333334, 0.45454545454545453]","[0.6666666666666667, 0.5714285714285714]","[27, 13]",0.6322913408279419,0.375,0.2753623188405797
1,9,0.6225428899129232,0.6666666666666666,40,0.6,0.603988603988604,0.5833333333333333,"[0.5925925925925926, 0.6153846153846154]","[0.7619047619047619, 0.42105263157894735]","[0.6666666666666666, 0.5]","[27, 13]",0.6330545783042908,0.4,0.18575063613231546
1,10,0.6331968601544699,0.6666666666666666,40,0.6,0.603988603988604,0.5833333333333333,"[0.5925925925925926, 0.6153846153846154]","[0.7619047619047619, 0.42105263157894735]","[0.6666666666666666, 0.5]","[27, 13]",0.6330050706863404,0.4,0.18575063613231546
