epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5391414141414141,0.39779293359856016,0.7053877180530912
2,3,0.523989898989899,0.4059800948842199,0.6934723553203401
3,3,0.48358585858585856,0.4475899826473913,0.6881084561347962
4,3,0.4911616161616162,0.42988515933680443,0.6883443400973365
5,3,0.5176767676767677,0.4686951478747144,0.6867073893547057
6,3,0.5328282828282829,0.47374251514462457,0.6870809838885353
7,3,0.5328282828282829,0.47374251514462457,0.6884738320396059
8,3,0.4727633477633478,0.425173326035395,0.6894777723721095
9,3,0.49161255411255406,0.43509464484040755,0.6890717659677777
10,3,0.4737554112554112,0.4251690865277524,0.6886560752278283
11,3,0.470508658008658,0.41008816983393254,0.6889173326038179
