epoch,loss,accuracy
1,0.6988132344592701,0.5636363636363636
2,0.6845794523846019,0.58
3,0.6982087826728821,0.5909090909090909
4,0.6873376295783303,0.5945454545454546
5,0.7062242967432195,0.5636363636363636
6,0.6669823605364019,0.5963636363636363
7,0.6631843536550348,0.5781818181818181
8,0.6505818028883501,0.6509090909090909
9,0.6493465451760726,0.62
10,0.6603516717390581,0.6236363636363637
11,0.6554872434789484,0.6509090909090909
12,0.6358791562643918,0.66
13,0.6258761431954124,0.6527272727272727
14,0.6255974381620234,0.68
