fold,experiment,C,balanced_accuracy,macro_f1,negative_log_likelihood,code_C,face_C,alpha_face
1,code_only,0.01,0.6284745293466224,0.6299907878483345,0.9707428122346267,,,
1,code_only,0.1,0.6284745293466224,0.6299907878483345,0.8006087129537368,,,
1,code_only,1.0,0.6284745293466224,0.6299907878483345,0.7778694864031868,,,
1,face_raw,0.01,0.2680509413067553,0.26771387816163933,1.5502212517869367,,,
1,face_raw,0.1,0.2481104651162791,0.24869281045751632,2.4251663000881756,,,
1,face_raw,1.0,0.23681478405315615,0.23400887191004946,3.545384866193455,,,
1,face_trial_delta,0.01,0.35710825027685494,0.3569023569023569,1.4834369618110066,,,
1,face_trial_delta,0.1,0.3198920265780731,0.3178195334927386,2.303016589106133,,,
1,face_trial_delta,1.0,0.28444767441860463,0.28250173820277796,3.366085515963018,,,
1,face_water_delta,0.01,0.3830149501661129,0.3848493848493848,1.5563339010591963,,,
1,face_water_delta,0.1,0.3692829457364341,0.3690201829736714,2.436059128839708,,,
1,face_water_delta,1.0,0.3588662790697674,0.3583366753206549,3.5962998847627627,,,
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.9707428122346266,0.01,0.01,0.0
1,fusion_raw,,0.39321705426356585,0.3827643067607385,1.1776262484822573,0.01,0.01,0.5
1,fusion_raw,,0.2680509413067553,0.26771387816163933,1.5502212517869367,0.01,0.01,1.0
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.9707428122346266,0.01,0.1,0.0
1,fusion_raw,,0.3309593023255814,0.3261553261553262,1.506265782260229,0.01,0.1,0.5
1,fusion_raw,,0.2481104651162791,0.24869281045751632,2.4251663000881756,0.01,0.1,1.0
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.9707428122346266,0.01,1.0,0.0
1,fusion_raw,,0.2782392026578073,0.2729950238258515,1.982804542819444,0.01,1.0,0.5
1,fusion_raw,,0.23681478405315615,0.23400887191004946,3.545384866193455,0.01,1.0,1.0
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.8006087129537368,0.1,0.01,0.0
1,fusion_raw,,0.4486018826135105,0.4414365029165788,1.039532063353158,0.1,0.01,0.5
1,fusion_raw,,0.2680509413067553,0.26771387816163933,1.5502212517869367,0.1,0.01,1.0
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.8006087129537368,0.1,0.1,0.0
1,fusion_raw,,0.40007613510520484,0.3920942004118051,1.3567698047815104,0.1,0.1,0.5
1,fusion_raw,,0.2481104651162791,0.24869281045751632,2.4251663000881756,0.1,0.1,1.0
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.8006087129537368,0.1,1.0,0.0
1,fusion_raw,,0.3845722591362126,0.37842501439415616,1.8241865382093925,0.1,1.0,0.5
1,fusion_raw,,0.23681478405315615,0.23400887191004946,3.545384866193455,0.1,1.0,1.0
1,fusion_raw,,0.6284745293466224,0.6299907878483345,0.7778694864031868,1.0,0.01,0.0
1,fusion_raw,,0.49955011074197114,0.49547456032273324,0.9562059479536463,1.0,0.01,0.5
