epoch,loss,accuracy
1,0.7161945648626847,0.509090909090909
2,0.7049387949163264,0.5363636363636364
3,0.6842809267477555,0.5327272727272727
4,0.6897103409333663,0.5781818181818181
5,0.6717808612910184,0.6309090909090909
6,0.6863571921261874,0.5309090909090909
7,0.6735250865329395,0.5672727272727273
8,0.6631527983058583,0.5981818181818181
9,0.6702759328755465,0.5763636363636364
10,0.6650682676922192,0.6090909090909091
11,0.664486689567566,0.5763636363636364
12,0.6386202096939086,0.6290909090909091
13,0.6227859811349349,0.6327272727272727
14,0.6547279245203191,0.6418181818181818
15,0.6193343695727261,0.6345454545454545
