epoch,loss,accuracy
1,1.1299433055131332,0.3652173913043478
2,1.0869458198547364,0.3947826086956522
3,1.083440407877383,0.40869565217391307
4,1.0753080722560053,0.4260869565217391
5,1.0481251044895339,0.4643478260869565
6,1.0554947933943375,0.45565217391304347
7,1.0381125168178393,0.47304347826086957
8,1.0358467721939086,0.4573913043478261
9,1.0135144207788551,0.46608695652173915
10,1.0067287362140158,0.5060869565217392
11,0.9991589109793954,0.49391304347826087
12,1.0048885540340258,0.52
