experiment,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
video_raw,140,0.5285714285714286,0.45928030303030304,0.4596491228070175,"[0.6458333333333334, 0.2727272727272727]","[0.6595744680851063, 0.2608695652173913]","[0.6526315789473683, 0.2666666666666666]","[96, 44]",0.4714285714285714,-0.08044901777362012
video_trial_delta,140,0.6071428571428571,0.5411931818181819,0.5414209993448871,"[0.71875, 0.36363636363636365]","[0.711340206185567, 0.37209302325581395]","[0.7150259067357513, 0.367816091954023]","[96, 44]",0.39285714285714285,0.0828966174368746
video_water_delta,140,0.5142857142857142,0.46117424242424243,0.46105072463768115,"[0.6041666666666666, 0.3181818181818182]","[0.6590909090909091, 0.2692307692307692]","[0.6304347826086956, 0.2916666666666667]","[96, 44]",0.4857142857142857,-0.07400722021660644
