subj_remove,n_subjects,n_samples,majority,iso_contam,sampling,model,K,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0,28,119,0.7563,0.05,none,LGBM_gpu,18,0.7059,0.5835,0.5862,0.3448,0.8222,0.7563,0.6109,0.85
0,28,119,0.7563,0.05,none,LGBM_gpu,19,0.7143,0.6008,0.603,0.3793,0.8222,0.7647,0.6209,0.71
0,28,119,0.7563,0.05,none,LGBM_gpu,20,0.7647,0.6575,0.6647,0.4483,0.8667,0.7731,0.6692,0.55
0,28,119,0.7563,0.05,none,LGBM_gpu,21,0.7395,0.6174,0.6238,0.3793,0.8556,0.7647,0.6531,0.74
0,28,119,0.7563,0.05,none,LGBM_gpu,22,0.7395,0.6291,0.6335,0.4138,0.8444,0.7647,0.6487,0.61
0,28,119,0.7563,0.05,none,LGBM_gpu,23,0.7227,0.5946,0.5995,0.3448,0.8444,0.7647,0.6764,0.82
0,28,119,0.7563,0.05,none,LGBM_gpu,24,0.7143,0.5891,0.5928,0.3448,0.8333,0.7731,0.6826,0.76
0,28,119,0.7563,0.05,none,LGBM_gpu,25,0.7143,0.5891,0.5928,0.3448,0.8333,0.7563,0.6887,0.67
0,28,119,0.7563,0.05,none,LGBM_gpu,26,0.7143,0.5891,0.5928,0.3448,0.8333,0.7731,0.6659,0.6
0,28,119,0.7563,0.05,none,LGBM_gpu,27,0.7143,0.6008,0.603,0.3793,0.8222,0.7647,0.6948,0.63
0,28,119,0.7563,0.05,none,LGBM_gpu,28,0.7227,0.6063,0.6098,0.3793,0.8333,0.7731,0.6738,0.62
0,28,119,0.7563,0.05,none,LGBM_gpu,29,0.7227,0.6297,0.6282,0.4483,0.8111,0.7899,0.6782,0.76
0,28,119,0.7563,0.05,none,LGBM_gpu,30,0.7311,0.6119,0.6167,0.3793,0.8444,0.7983,0.672,0.78
0,28,119,0.7563,0.05,none,SVM_RBF,1,0.4958,0.5615,0.4826,0.6897,0.4333,0.7563,0.5852,0.56
0,28,119,0.7563,0.05,none,SVM_RBF,2,0.4958,0.4563,0.4418,0.3793,0.5333,0.7647,0.5519,0.6
0,28,119,0.7563,0.05,none,SVM_RBF,3,0.5714,0.518,0.5036,0.4138,0.6222,0.7563,0.5626,0.64
0,28,119,0.7563,0.05,none,SVM_RBF,4,0.5798,0.5469,0.5232,0.4828,0.6111,0.7647,0.5521,0.66
0,28,119,0.7563,0.05,none,SVM_RBF,5,0.5798,0.5236,0.5097,0.4138,0.6333,0.7731,0.5345,0.54
0,28,119,0.7563,0.05,none,SVM_RBF,6,0.563,0.5008,0.4901,0.3793,0.6222,0.7731,0.5523,0.54
0,28,119,0.7563,0.05,none,SVM_RBF,7,0.563,0.5125,0.4974,0.4138,0.6111,0.7647,0.5485,0.52
0,28,119,0.7563,0.05,none,SVM_RBF,8,0.5798,0.5119,0.5022,0.3793,0.6444,0.7563,0.5552,0.43
0,28,119,0.7563,0.05,none,SVM_RBF,9,0.605,0.5519,0.5357,0.4483,0.6556,0.7563,0.5102,0.67
0,28,119,0.7563,0.05,none,SVM_RBF,10,0.5546,0.4952,0.4841,0.3793,0.6111,0.7563,0.5111,0.6
0,28,119,0.7563,0.05,none,SVM_RBF,11,0.5882,0.5408,0.523,0.4483,0.6333,0.7563,0.5274,0.56
0,28,119,0.7563,0.05,none,SVM_RBF,12,0.5966,0.5464,0.5293,0.4483,0.6444,0.7647,0.533,0.51
0,28,119,0.7563,0.05,none,SVM_RBF,13,0.5966,0.5347,0.5221,0.4138,0.6556,0.7647,0.5172,0.54
0,28,119,0.7563,0.05,none,SVM_RBF,14,0.5966,0.5113,0.5059,0.3448,0.6778,0.7563,0.5178,0.56
0,28,119,0.7563,0.05,none,SVM_RBF,15,0.5882,0.5057,0.5,0.3448,0.6667,0.7563,0.5195,0.59
0,28,119,0.7563,0.05,none,SVM_RBF,16,0.5714,0.483,0.4795,0.3103,0.6556,0.7563,0.5312,0.57
0,28,119,0.7563,0.05,none,SVM_RBF,17,0.5798,0.4768,0.4759,0.2759,0.6778,0.7563,0.5128,0.62
0,28,119,0.7563,0.05,none,SVM_RBF,18,0.6134,0.499,0.4984,0.2759,0.7222,0.7563,0.5061,0.62
0,28,119,0.7563,0.05,none,SVM_RBF,19,0.605,0.4935,0.4927,0.2759,0.7111,0.7563,0.5117,0.44
0,28,119,0.7563,0.05,none,SVM_RBF,20,0.6134,0.5107,0.5084,0.3103,0.7111,0.7563,0.5218,0.54
0,28,119,0.7563,0.05,none,SVM_RBF,21,0.6134,0.5341,0.5265,0.3793,0.6889,0.7563,0.5111,0.53
0,28,119,0.7563,0.05,none,SVM_RBF,22,0.6387,0.5508,0.545,0.3793,0.7222,0.7563,0.5111,0.52
0,28,119,0.7563,0.05,none,SVM_RBF,23,0.6303,0.5452,0.5388,0.3793,0.7111,0.7563,0.5117,0.43
0,28,119,0.7563,0.05,none,SVM_RBF,24,0.605,0.5052,0.5026,0.3103,0.7,0.7563,0.5,0.53
0,28,119,0.7563,0.05,none,SVM_RBF,25,0.605,0.5052,0.5026,0.3103,0.7,0.7563,0.5257,0.52
0,28,119,0.7563,0.05,none,SVM_RBF,26,0.6134,0.5107,0.5084,0.3103,0.7111,0.7563,0.5245,0.51
0,28,119,0.7563,0.05,none,SVM_RBF,27,0.6134,0.5107,0.5084,0.3103,0.7111,0.7563,0.5362,0.58
0,28,119,0.7563,0.05,none,SVM_RBF,28,0.605,0.5052,0.5026,0.3103,0.7,0.7563,0.5134,0.62
0,28,119,0.7563,0.05,none,SVM_RBF,29,0.6134,0.499,0.4984,0.2759,0.7222,0.7563,0.5117,0.43
0,28,119,0.7563,0.05,none,SVM_RBF,30,0.6303,0.5102,0.5097,0.2759,0.7444,0.7563,0.519,0.64
0,28,119,0.7563,0.05,none,LogReg_C1,1,0.521,0.5314,0.4885,0.5517,0.5111,0.7563,0.5575,0.74
0,28,119,0.7563,0.05,none,LogReg_C1,2,0.5126,0.5025,0.472,0.4828,0.5222,0.7563,0.5877,0.79
0,28,119,0.7563,0.05,none,LogReg_C1,3,0.5126,0.5025,0.472,0.4828,0.5222,0.7479,0.5209,0.77
0,28,119,0.7563,0.05,none,LogReg_C1,4,0.5042,0.5086,0.4706,0.5172,0.5,0.7479,0.568,0.83
0,28,119,0.7563,0.05,none,LogReg_C1,5,0.4958,0.5148,0.4684,0.5517,0.4778,0.7479,0.5347,0.85
0,28,119,0.7563,0.05,none,LogReg_C1,6,0.5042,0.5203,0.4751,0.5517,0.4889,0.7563,0.5563,0.9
0,28,119,0.7563,0.05,none,LogReg_C1,7,0.5294,0.537,0.4952,0.5517,0.5222,0.7563,0.5513,0.88
0,28,119,0.7563,0.05,none,LogReg_C1,8,0.4874,0.4858,0.4526,0.4828,0.4889,0.7479,0.5379,0.88
0,28,119,0.7563,0.05,none,LogReg_C1,9,0.5042,0.4736,0.4543,0.4138,0.5333,0.7311,0.5262,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,10,0.5042,0.4736,0.4543,0.4138,0.5333,0.7311,0.5174,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,11,0.5126,0.4791,0.4604,0.4138,0.5444,0.7311,0.5534,0.75
0,28,119,0.7563,0.05,none,LogReg_C1,12,0.5294,0.5019,0.479,0.4483,0.5556,0.7395,0.5534,0.9
0,28,119,0.7563,0.05,none,LogReg_C1,13,0.5294,0.5019,0.479,0.4483,0.5556,0.7395,0.554,0.9
0,28,119,0.7563,0.05,none,LogReg_C1,14,0.5294,0.5136,0.4848,0.4828,0.5444,0.7395,0.568,0.8
0,28,119,0.7563,0.05,none,LogReg_C1,15,0.521,0.508,0.4784,0.4828,0.5333,0.7479,0.5441,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,16,0.5378,0.5308,0.4967,0.5172,0.5444,0.7479,0.5441,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,17,0.5126,0.5025,0.472,0.4828,0.5222,0.7479,0.5239,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,18,0.5126,0.4908,0.4665,0.4483,0.5333,0.7479,0.5178,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,19,0.5462,0.5247,0.4977,0.4828,0.5667,0.7479,0.5247,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,20,0.5714,0.5297,0.5104,0.4483,0.6111,0.7479,0.5529,0.86
0,28,119,0.7563,0.05,none,LogReg_C1,21,0.5798,0.5469,0.5232,0.4828,0.6111,0.7395,0.5531,0.88
0,28,119,0.7563,0.05,none,LogReg_C1,22,0.5966,0.558,0.5361,0.4828,0.6333,0.7647,0.564,0.88
0,28,119,0.7563,0.05,none,LogReg_C1,23,0.5462,0.5247,0.4977,0.4828,0.5667,0.7479,0.5651,0.9
0,28,119,0.7563,0.05,none,LogReg_C1,24,0.5294,0.5019,0.479,0.4483,0.5556,0.7311,0.5596,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,25,0.5294,0.5019,0.479,0.4483,0.5556,0.7311,0.5602,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,26,0.5546,0.5186,0.4979,0.4483,0.5889,0.7227,0.5602,0.86
0,28,119,0.7563,0.05,none,LogReg_C1,27,0.5798,0.5586,0.5293,0.5172,0.6,0.7395,0.5824,0.84
0,28,119,0.7563,0.05,none,LogReg_C1,28,0.5714,0.5531,0.5228,0.5172,0.5889,0.7227,0.5592,0.89
0,28,119,0.7563,0.05,none,LogReg_C1,29,0.5462,0.5013,0.4851,0.4138,0.5889,0.7059,0.5546,0.88
0,28,119,0.7563,0.05,none,LogReg_C1,30,0.5546,0.5186,0.4979,0.4483,0.5889,0.6975,0.5552,0.82
0,28,119,0.7563,0.05,none,LogReg_C01,1,0.5126,0.5259,0.4818,0.5517,0.5,0.7563,0.5519,0.69
0,28,119,0.7563,0.05,none,LogReg_C01,2,0.5126,0.5025,0.472,0.4828,0.5222,0.7563,0.5705,0.73
0,28,119,0.7563,0.05,none,LogReg_C01,3,0.5126,0.5025,0.472,0.4828,0.5222,0.7563,0.517,0.88
0,28,119,0.7563,0.05,none,LogReg_C01,4,0.521,0.5197,0.4837,0.5172,0.5222,0.7563,0.5586,0.88
0,28,119,0.7563,0.05,none,LogReg_C01,5,0.5126,0.5142,0.4771,0.5172,0.5111,0.7563,0.5236,0.87
0,28,119,0.7563,0.05,none,LogReg_C01,6,0.521,0.5314,0.4885,0.5517,0.5111,0.7563,0.5625,0.81
0,28,119,0.7563,0.05,none,LogReg_C01,7,0.5126,0.5142,0.4771,0.5172,0.5111,0.7563,0.5625,0.79
0,28,119,0.7563,0.05,none,LogReg_C01,8,0.5126,0.5259,0.4818,0.5517,0.5,0.7563,0.5441,0.82
0,28,119,0.7563,0.05,none,LogReg_C01,9,0.5042,0.4969,0.4656,0.4828,0.5111,0.7479,0.5429,0.83
0,28,119,0.7563,0.05,none,LogReg_C01,10,0.5126,0.4908,0.4665,0.4483,0.5333,0.7479,0.5513,0.83
0,28,119,0.7563,0.05,none,LogReg_C01,11,0.5462,0.513,0.4916,0.4483,0.5778,0.7479,0.5513,0.85
0,28,119,0.7563,0.05,none,LogReg_C01,12,0.5294,0.5019,0.479,0.4483,0.5556,0.7479,0.5686,0.84
0,28,119,0.7563,0.05,none,LogReg_C01,13,0.521,0.4964,0.4728,0.4483,0.5444,0.7479,0.5713,0.85
0,28,119,0.7563,0.05,none,LogReg_C01,14,0.5378,0.5192,0.4913,0.4828,0.5556,0.7479,0.5692,0.84
0,28,119,0.7563,0.05,none,LogReg_C01,15,0.5378,0.5192,0.4913,0.4828,0.5556,0.7479,0.5686,0.85
0,28,119,0.7563,0.05,none,LogReg_C01,16,0.5294,0.5136,0.4848,0.4828,0.5444,0.7479,0.5736,0.85
0,28,119,0.7563,0.05,none,LogReg_C01,17,0.4958,0.4797,0.4538,0.4483,0.5111,0.7563,0.5291,0.81
0,28,119,0.7563,0.05,none,LogReg_C01,18,0.5042,0.4852,0.4601,0.4483,0.5222,0.7479,0.5174,0.81
0,28,119,0.7563,0.05,none,LogReg_C01,19,0.5126,0.4908,0.4665,0.4483,0.5333,0.7479,0.523,0.81
0,28,119,0.7563,0.05,none,LogReg_C01,20,0.5882,0.5525,0.5296,0.4828,0.6222,0.7479,0.5646,0.7
0,28,119,0.7563,0.05,none,LogReg_C01,21,0.5714,0.5414,0.5168,0.4828,0.6,0.7479,0.5636,0.83
0,28,119,0.7563,0.05,none,LogReg_C01,22,0.5966,0.558,0.5361,0.4828,0.6333,0.7479,0.5908,0.73
0,28,119,0.7563,0.05,none,LogReg_C01,23,0.563,0.5358,0.5104,0.4828,0.5889,0.7563,0.5707,0.76
0,28,119,0.7563,0.05,none,LogReg_C01,24,0.5378,0.5075,0.4853,0.4483,0.5667,0.7647,0.5607,0.83
0,28,119,0.7563,0.05,none,LogReg_C01,25,0.5294,0.5019,0.479,0.4483,0.5556,0.7731,0.5718,0.82
0,28,119,0.7563,0.05,none,LogReg_C01,26,0.563,0.5358,0.5104,0.4828,0.5889,0.7647,0.5774,0.82
0,28,119,0.7563,0.05,none,LogReg_C01,27,0.5714,0.5414,0.5168,0.4828,0.6,0.7563,0.5935,0.71
0,28,119,0.7563,0.05,none,LogReg_C01,28,0.605,0.587,0.5547,0.5517,0.6222,0.7563,0.587,0.8
0,28,119,0.7563,0.05,none,LogReg_C01,29,0.5798,0.5469,0.5232,0.4828,0.6111,0.7647,0.5502,0.84
0,28,119,0.7563,0.05,none,LogReg_C01,30,0.5462,0.513,0.4916,0.4483,0.5778,0.7647,0.5774,0.84
0,28,119,0.7563,0.05,smote,XGB_gpu,1,0.437,0.4875,0.4238,0.5862,0.3889,0.6387,0.5588,0.88
0,28,119,0.7563,0.05,smote,XGB_gpu,2,0.4202,0.383,0.375,0.3103,0.4556,0.6639,0.5889,0.9
0,28,119,0.7563,0.05,smote,XGB_gpu,3,0.5294,0.5019,0.479,0.4483,0.5556,0.6218,0.5492,0.9
0,28,119,0.7563,0.05,smote,XGB_gpu,4,0.5798,0.5352,0.5167,0.4483,0.6222,0.6807,0.5533,0.9
0,28,119,0.7563,0.05,smote,XGB_gpu,5,0.6134,0.5692,0.5489,0.4828,0.6556,0.7563,0.5952,0.9
0,28,119,0.7563,0.05,smote,XGB_gpu,6,0.6387,0.6092,0.5814,0.5517,0.6667,0.7311,0.6203,0.76
0,28,119,0.7563,0.05,smote,XGB_gpu,7,0.5882,0.5525,0.5296,0.4828,0.6222,0.7479,0.6015,0.88
0,28,119,0.7563,0.05,smote,XGB_gpu,8,0.605,0.5753,0.5488,0.5172,0.6333,0.7227,0.6031,0.84
0,28,119,0.7563,0.05,smote,XGB_gpu,9,0.605,0.5402,0.5283,0.4138,0.6667,0.7479,0.5785,0.89
0,28,119,0.7563,0.05,smote,XGB_gpu,10,0.605,0.5052,0.5026,0.3103,0.7,0.7395,0.5663,0.89
0,28,119,0.7563,0.05,smote,XGB_gpu,11,0.6387,0.5625,0.5534,0.4138,0.7111,0.7647,0.5818,0.88
0,28,119,0.7563,0.05,smote,XGB_gpu,12,0.6218,0.5513,0.5408,0.4138,0.6889,0.7731,0.5874,0.9
0,28,119,0.7563,0.05,smote,XGB_gpu,13,0.6387,0.5508,0.545,0.3793,0.7222,0.7479,0.5824,0.76
0,28,119,0.7563,0.05,smote,XGB_gpu,14,0.6723,0.5847,0.579,0.4138,0.7556,0.7395,0.6276,0.85
0,28,119,0.7563,0.05,smote,XGB_gpu,15,0.6891,0.6192,0.6084,0.4828,0.7556,0.7731,0.6303,0.89
0,28,119,0.7563,0.05,smote,XGB_gpu,16,0.6639,0.5791,0.5726,0.4138,0.7444,0.7647,0.6203,0.79
0,28,119,0.7563,0.05,smote,XGB_gpu,17,0.6975,0.613,0.6074,0.4483,0.7778,0.7479,0.637,0.89
0,28,119,0.7563,0.05,smote,XGB_gpu,18,0.6807,0.6019,0.5939,0.4483,0.7556,0.7395,0.6125,0.84
0,28,119,0.7563,0.05,smote,XGB_gpu,19,0.6975,0.613,0.6074,0.4483,0.7778,0.7563,0.6408,0.86
0,28,119,0.7563,0.05,smote,XGB_gpu,20,0.6975,0.6364,0.6226,0.5172,0.7556,0.7479,0.6364,0.65
0,28,119,0.7563,0.05,smote,XGB_gpu,21,0.6639,0.5908,0.5807,0.4483,0.7333,0.7395,0.6203,0.74
0,28,119,0.7563,0.05,smote,XGB_gpu,22,0.6471,0.568,0.5597,0.4138,0.7222,0.7563,0.6119,0.71
0,28,119,0.7563,0.05,smote,XGB_gpu,23,0.6639,0.5908,0.5807,0.4483,0.7333,0.7563,0.6326,0.86
0,28,119,0.7563,0.05,smote,XGB_gpu,24,0.6555,0.6086,0.5885,0.5172,0.7,0.7479,0.6375,0.75
0,28,119,0.7563,0.05,smote,XGB_gpu,25,0.6807,0.6019,0.5939,0.4483,0.7556,0.7479,0.6236,0.89
0,28,119,0.7563,0.05,smote,XGB_gpu,26,0.6975,0.6364,0.6226,0.5172,0.7556,0.7899,0.6508,0.69
0,28,119,0.7563,0.05,smote,XGB_gpu,27,0.6891,0.6308,0.6157,0.5172,0.7444,0.7479,0.6531,0.88
0,28,119,0.7563,0.05,smote,XGB_gpu,28,0.6723,0.6197,0.602,0.5172,0.7222,0.7563,0.6504,0.72
0,28,119,0.7563,0.05,smote,XGB_gpu,29,0.7059,0.6536,0.6365,0.5517,0.7556,0.7647,0.6598,0.64
0,28,119,0.7563,0.05,smote,XGB_gpu,30,0.6723,0.6197,0.602,0.5172,0.7222,0.7479,0.622,0.72
0,28,119,0.7563,0.05,smote,LGBM_gpu,1,0.4958,0.4213,0.4201,0.2759,0.5667,0.7311,0.5626,0.83
0,28,119,0.7563,0.05,smote,LGBM_gpu,2,0.5126,0.409,0.4131,0.2069,0.6111,0.7311,0.5466,0.89
0,28,119,0.7563,0.05,smote,LGBM_gpu,3,0.5714,0.4713,0.4703,0.2759,0.6667,0.7395,0.5638,0.89
0,28,119,0.7563,0.05,smote,LGBM_gpu,4,0.5798,0.4885,0.4853,0.3103,0.6667,0.7395,0.5676,0.9
0,28,119,0.7563,0.05,smote,LGBM_gpu,5,0.6218,0.5513,0.5408,0.4138,0.6889,0.7815,0.5868,0.83
0,28,119,0.7563,0.05,smote,LGBM_gpu,6,0.6639,0.5791,0.5726,0.4138,0.7444,0.7731,0.6159,0.86
0,28,119,0.7563,0.05,smote,LGBM_gpu,7,0.6471,0.5563,0.5512,0.3793,0.7333,0.7731,0.5826,0.9
0,28,119,0.7563,0.05,smote,LGBM_gpu,8,0.6807,0.5785,0.5766,0.3793,0.7778,0.7563,0.5897,0.9
0,28,119,0.7563,0.05,smote,LGBM_gpu,9,0.6303,0.5102,0.5097,0.2759,0.7444,0.7815,0.6098,0.86
0,28,119,0.7563,0.05,smote,LGBM_gpu,10,0.6303,0.5102,0.5097,0.2759,0.7444,0.7731,0.5479,0.84
0,28,119,0.7563,0.05,smote,LGBM_gpu,11,0.6639,0.5441,0.5441,0.3103,0.7778,0.7647,0.5935,0.67
0,28,119,0.7563,0.05,smote,LGBM_gpu,12,0.6471,0.5213,0.5213,0.2759,0.7667,0.7647,0.5707,0.81
0,28,119,0.7563,0.05,smote,LGBM_gpu,13,0.6387,0.5157,0.5155,0.2759,0.7556,0.7563,0.554,0.87
0,28,119,0.7563,0.05,smote,LGBM_gpu,14,0.6975,0.5546,0.5571,0.2759,0.8333,0.7479,0.6148,0.66
0,28,119,0.7563,0.05,smote,LGBM_gpu,15,0.7143,0.5657,0.5696,0.2759,0.8556,0.7815,0.6109,0.77
0,28,119,0.7563,0.05,smote,LGBM_gpu,16,0.6975,0.5546,0.5571,0.2759,0.8333,0.7647,0.6019,0.7
0,28,119,0.7563,0.05,smote,LGBM_gpu,17,0.7143,0.5774,0.5817,0.3103,0.8444,0.7563,0.6119,0.68
0,28,119,0.7563,0.05,smote,LGBM_gpu,18,0.7059,0.5602,0.5633,0.2759,0.8444,0.7563,0.6764,0.88
0,28,119,0.7563,0.05,smote,LGBM_gpu,19,0.7059,0.5602,0.5633,0.2759,0.8444,0.7563,0.6098,0.81
0,28,119,0.7563,0.05,smote,LGBM_gpu,20,0.7059,0.5602,0.5633,0.2759,0.8444,0.7647,0.6092,0.71
0,28,119,0.7563,0.05,smote,LGBM_gpu,21,0.7143,0.5774,0.5817,0.3103,0.8444,0.7479,0.6025,0.74
0,28,119,0.7563,0.05,smote,LGBM_gpu,22,0.7227,0.583,0.5882,0.3103,0.8556,0.7563,0.6136,0.77
0,28,119,0.7563,0.05,smote,LGBM_gpu,23,0.7059,0.5718,0.5752,0.3103,0.8333,0.7731,0.6259,0.71
0,28,119,0.7563,0.05,smote,LGBM_gpu,24,0.6975,0.5312,0.5303,0.2069,0.8556,0.7563,0.5843,0.87
0,28,119,0.7563,0.05,smote,LGBM_gpu,25,0.6975,0.5546,0.5571,0.2759,0.8333,0.7731,0.6609,0.84
0,28,119,0.7563,0.05,smote,LGBM_gpu,26,0.6975,0.5429,0.5443,0.2414,0.8444,0.7731,0.6425,0.9
0,28,119,0.7563,0.05,smote,LGBM_gpu,27,0.7059,0.5602,0.5633,0.2759,0.8444,0.7815,0.6787,0.85
0,28,119,0.7563,0.05,smote,LGBM_gpu,28,0.7059,0.5718,0.5752,0.3103,0.8333,0.7731,0.6498,0.84
0,28,119,0.7563,0.05,smote,LGBM_gpu,29,0.7059,0.5835,0.5862,0.3448,0.8222,0.7563,0.6943,0.89
